country,year,real_interest_rate,total_debt,debt_to_GDP,fx,nonbank_domestic_debt,bank_domestic_debt,official_domestic_debt,domestic_debt,nonbank_foreign_debt,bank_foreign_debt,official_foreign_debt,foreign_debt,GDP_cte_billions,GDP_cur_billions,GDP_cur_USD_billions,GDP_percapita_cte,GDP_percapita_cur,GDP_percapita_cur_USD,total_investment_percent_GDP,gross_national_savings_percent_GDP,inflation_average_index,inflation_end_index,unemployment_rate,general_gov_revenue_billions,general_gov_revenue_percent_GDP,general_gov_expenditures_billions,general_gov_expenditures_percent_GDP,lending_borrowing_billions,lending_borrowing_percent_GDP,current_account_billions,current_account_percent_GDP,ln_GDP_cte_billions,ln_GDP_cur_billions,ln_GDP_percapita_cur_USD,taxes,vix_EUA,vix_EUR,nominal_rate,continent,control_corruption_rank,gov_effectiveness_rank,political_stability_rank,regulatory_quality_rank,rule_of_law_rank,voice_rank,fx_volatility,int_liq,post_08,post_09,post_12,post_13,post_15,post_16,post_17,less_20,bet_20_40,bet_40_60,bet_60_80,bet_80_100,more_100,fx_return,develop
Argentina,2004,NA,436.752,94.48977069719781,0.34203900646365715,88.30324999999999,97.28225,248.18375,248.18375,128.08725,1.0415,59.439750000000004,188.56799999999998,485.115,485.115,164.911,12690.696,12690.697,4.3140979999999995,17.551,19.35,38.577,39.631,13.625,130.964,26.996,111.72,23.03,19.244,3.967,2.966,1.798,6.184385976232606,6.184385976232606,1.4618882644451512,18.8897776425385,15.456793893129769,18.886297709923657,2.5,South America,40,55.17241,26.21359,23.64532,23.92344,59.61538,0.05518683395439363,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NA,EM
Argentina,2005,NA,371.5375,68.84865773099548,0.34300184967082414,67.0495,101.18549999999999,225.00125000000003,225.00125000000003,91.30875,0.74575,54.48125,146.53625,528.056,582.538,199.273,13682.988,15094.732,5.16355,18.888,21.362,42.297,44.516,11.575,161.749,27.766,142.288,24.426,19.46,3.341,4.929,2.473,6.269202338688293,6.367394419363579,1.6416243274367521,19.8298881184074,12.779846153846155,14.031134999999999,5,South America,43.41463,50.98039,44.17476,31.86275,34.92823,59.13462,0.05558430427652448,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NA,EM
Argentina,2006,NA,463.22575,69.82613464654075,0.32643177643541105,157.65575,91.159,302.034,302.034,107.93475,0.86425,52.3935,161.1925,570.549,715.904,232.892,14640.504,18370.363,5.976082,18.68,21.471,46.907,48.897,10.175,202.363,28.267,190.55,26.617,11.813,1.65,6.499,2.791,6.3465990551843845,6.573546079759068,1.7877651692892547,18.6619929052431,12.78038461538462,16.52674884615384,6.25,South America,42.92683,55.12195,45.89372,26.47059,34.44976,58.17308,0.03053819521182231,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0.0028071079152810078,EM
Argentina,2007,NA,496.1755,60.72736268763211,0.32229249254676773,165.31975,90.765,312.126,312.126,136.42225,1.1252499999999999,46.502,184.04925,621.943,896.98,287.921,15802.837,22791.226,7.315726,20.099,22.199,51.049,53.038,8.475,271.853,30.308,265.063,29.551,6.79,7.57e-4,6.046,2.1,6.432848448668607,6.799033565266189,1.9900262776676194,14.2354844249788,17.45256704980844,19.614428735632167,10.75,South America,45.14563,53.39806,46.85991,25.72816,34.44976,58.65385,0.030949624843043585,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,-0.050761213924563224,EM
Argentina,2008,NA,527.682,49.75964576164313,0.3156896034129169,188.123,92.74625,344.10975,344.10975,131.5765,0.81425,51.18125,183.572,647.176,1.149646,363.545,16282.958,28925.107,9.146790000000001,19.573,21.065,55.431,56.876,7.875,357.705,31.114,353.658,30.762,4.046,3.52e-4,5.424,1.492,6.472618282238403,0.1394540689000271,2.213402998063682,13.0827459285192,32.58267175572519,33.70876145038169,12.05,South America,39.32039,50.48544,40.86538,23.30097,27.88461,58.17308,0.1178933712241314,NA,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,-0.012843252586911156,EM
Argentina,2009,NA,587.665,48.995194511645465,0.26528890155923307,211.22125,99.4135,392.1675,392.1675,132.131,0.9635,62.403,195.498,608.873,1.247929,334.633,15170.838,31093.737,8.337811,16.053,18.22,58.907,61.253,8.675,408.003,32.694,430.841,34.524,-22.838,-1.83,7.251,2.167,6.411609707374853,0.22148537730323917,2.1208007118953893,11.3574525723476,31.598494208494223,33.634777606177614,9.5,South America,39.71292,45.93301,36.96682,22.48804,30.80569,56.39811,0.12555465321760007,NA,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,-0.020915763656664827,EM
Argentina,2010,-8.5660287200659528,667.47125,45.05207441387171,0.2553696085041894,176.44825,135.52625,443.851,443.851,153.726,0.9445,68.94975,223.62025,670.524,1.661721,424.729,16439.056,40739.985,10.412974,17.706,17.323,65.069,67.944,7.75,531.163,31.965,554.318,33.358,-23.155,-1.393,-1.623,-3.82e-4,6.508059496264582,0.5078538123054038,2.34305252866574,11.5611927566893,22.49457831325302,26.361271485943774,9.5,South America,43.33333,49.2823,42.65403,23.92344,33.17535,58.29384,0.0563348246392782,NA,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,-0.18998420799910656,EM
Argentina,2011,-7.7734052360789327,733.80425,37.15005528007227,0.24119175445730465,121.39750000000001,165.23225,475.64925,475.64925,181.064,0.95675,76.13425,258.155,710.782,2.179024,527.644,17226.271,52810.117,12.787806,18.398,17.386,71.43,74.404,7.15,700.692,32.156,760.521,34.902,-59.828,-2.746,-5.341,-1.012,6.566365772380784,0.7788770701285362,2.5484920606102044,13.0207437952904,24.20257936507937,30.077896825396813,9.5,South America,44.07583,49.76303,52.1327,25.59242,33.33333,58.21596,0.09877049935089699,NA,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,-0.03884288781717328,EM
Argentina,2012,-6.7481955544048615,867.67575,35.23521785224784,0.2170955321218473,139.9545,179.56675,585.644,585.644,193.839,0.85075,87.34175,282.03200000000004,703.486,2.6379140000000003,579.666,16856.718,63208.892,13.889792,16.502,16.133,78.603,82.471,7.2,891.704,33.803,971.317,36.821,-79.614,-3.018,-2.139,-3.6899999999999997e-4,6.556047975858914,0.9699884533088265,2.631154181852113,13.1251461222574,17.815490196078425,24.584285490196052,9.5,South America,39.33649,46.91943,49.2891,20.85308,30.98592,57.277,0.17883605313766227,NA,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,-0.058782498924085214,EM
Argentina,2013,-5.4858391823789869,1135.72675,37.08195486735359,0.17725768541212344,174.56799999999998,209.79649999999998,795.328,795.328,228.60925,1.1139999999999999,110.675,340.3985,720.407,3.348308,611.471,17070.071,79338.285,14.488828999999999,17.306,15.159,86.95,91.498,7.075,1.150114,34.349,1.259062,37.603,-108.948,-3.254,-13.125,-2.146,6.57981633007858,1.2084551436169555,2.673377938712208,13.4674417329858,14.22903100775193,18.533330620155034,9.5,South America,40.28436,45.97157,48.34123,18.00948,29.57747,56.80751,0.4127835874257116,28143.038630956402,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,-0.11099363538229375,EM
